iter	MultiClass
0	2.118364466
1	2.047294807
2	1.983219007
3	1.923886382
4	1.868638541
5	1.817961437
6	1.769357914
7	1.724321138
8	1.682464286
9	1.642669902
10	1.60444845
11	1.568380347
12	1.533755578
13	1.50058194
14	1.469005702
15	1.438250078
16	1.409167678
17	1.381163744
18	1.354401845
19	1.329114379
20	1.304362248
21	1.280650493
22	1.257697958
23	1.235766082
24	1.214171467
25	1.193632286
26	1.173797921
27	1.154558493
28	1.135643778
29	1.117531215
30	1.099031916
31	1.081395355
32	1.064597781
33	1.048018894
34	1.031815718
35	1.015973734
36	1.00088147
37	0.9860932158
38	0.9719328803
39	0.9578800958
40	0.9442393209
41	0.931061284
42	0.9181029198
43	0.9054250843
44	0.8930578918
45	0.8808173405
46	0.8692939747
47	0.8577129795
48	0.8465741083
49	0.8356723869
50	0.8249415819
51	0.8147165352
52	0.8044619119
53	0.7944480235
54	0.7849963576
55	0.7756473132
56	0.7666038928
57	0.7568702642
58	0.7477236396
59	0.7382332554
60	0.7300571436
61	0.7219870143
62	0.7140218368
63	0.7058671007
64	0.6978400366
65	0.6895073934
66	0.681542664
67	0.674641479
68	0.6671319141
69	0.6599599695
70	0.6527721164
71	0.6459819777
72	0.6388161277
73	0.6316599125
74	0.6248127269
75	0.6183421489
76	0.6122162717
77	0.6058968027
78	0.5998009949
79	0.5938912502
80	0.5880415996
81	0.5824595716
82	0.5767765801
83	0.5710722129
84	0.5657956296
85	0.5605409149
86	0.5549451293
87	0.5497723326
88	0.5448018213
89	0.540058825
90	0.5348711952
91	0.5298042465
92	0.525301537
93	0.520154194
94	0.5157449641
95	0.5113201842
96	0.5070079294
97	0.5023928739
98	0.4976214214
99	0.4935259266
100	0.4891962844
101	0.4852560214
102	0.4810422654
103	0.4772831361
104	0.4731309081
105	0.4690773582
106	0.4651387533
107	0.4612012239
108	0.4573513037
109	0.453387021
110	0.4497874704
111	0.4463736244
112	0.4431969731
113	0.4396071469
114	0.4359796331
115	0.432686289
116	0.4292353379
117	0.4263401564
118	0.4231354073
119	0.4195189175
120	0.4163954142
121	0.4135838983
122	0.4105256875
123	0.4069514562
124	0.4039016253
125	0.4010826256
126	0.3982704375
127	0.3953548661
128	0.3921091133
129	0.3894182785
130	0.3861665208
131	0.3829273106
132	0.3803253398
133	0.377300649
134	0.3748706028
135	0.3724754434
136	0.3700553905
137	0.3672074641
138	0.3649046193
139	0.3619814969
140	0.3592159142
141	0.3567407639
142	0.3539631041
143	0.3513036383
144	0.3489925032
145	0.3468045586
146	0.3446005487
147	0.3422523084
148	0.339655872
149	0.3375694286
150	0.3354144215
151	0.3328305775
152	0.3303528728
153	0.3283621274
154	0.3262812409
155	0.3244256959
156	0.3220226047
157	0.3196811984
158	0.3178419206
159	0.3155223606
160	0.3135848304
161	0.311706543
162	0.3100304513
163	0.3083126163
164	0.3061653843
165	0.3040219838
166	0.3020235529
167	0.3001531973
168	0.2981343094
169	0.2967112985
170	0.2948321148
171	0.2931232424
172	0.291762992
173	0.2901530441
174	0.288246166
175	0.2867437466
176	0.2848789254
177	0.2833753857
178	0.2818098698
179	0.2800953511
180	0.2782545272
181	0.2768551102
182	0.2752360205
183	0.2737790414
184	0.2721030618
185	0.270805639
186	0.2695088211
187	0.2679236996
188	0.2663478095
189	0.2650100775
190	0.2636882765
191	0.2622525163
192	0.2608735117
193	0.2594539513
194	0.2580298873
195	0.2566513532
196	0.2553183714
197	0.2539033596
198	0.2525975792
199	0.2515068558
200	0.2500849652
201	0.2488267985
202	0.2472671083
203	0.2460574516
204	0.2447365244
205	0.2436590433
206	0.2424205046
207	0.2412682756
208	0.2401980766
209	0.2389646018
210	0.2378634146
211	0.2366438318
212	0.2354940227
213	0.2345242717
214	0.2334269385
215	0.2323616241
216	0.2314107169
217	0.2302726488
218	0.2292893644
219	0.2283264922
220	0.2273083433
221	0.2261216756
222	0.2251757875
223	0.2243042216
224	0.2233804487
225	0.2222803371
226	0.2212443079
227	0.2201437929
228	0.2190912278
229	0.2184552432
230	0.217428804
231	0.2164893241
232	0.2155931336
233	0.2147409044
234	0.2139302392
235	0.2131083036
236	0.2123528031
237	0.2113972578
238	0.2106420934
239	0.2098382174
240	0.208880185
241	0.2080064905
242	0.2071095157
243	0.2063710441
244	0.2057897537
245	0.2048655551
246	0.2041023691
247	0.2032891272
248	0.2025229164
249	0.2016776557
250	0.2008638312
251	0.1997885011
252	0.1989898009
253	0.1981338972
254	0.1973111325
255	0.1965644153
256	0.1957449444
257	0.1951184602
258	0.1942465806
259	0.1934604505
260	0.1927984072
261	0.1921804375
262	0.1914202316
263	0.1906361853
264	0.1898713413
265	0.1890810884
266	0.188284853
267	0.1877717566
268	0.1870066661
269	0.1861515465
270	0.1855437157
271	0.1847778186
272	0.1839830732
273	0.1832931115
274	0.1825454981
275	0.1818555476
276	0.1813448935
277	0.1808568363
278	0.1803038005
279	0.1796895166
280	0.1789403907
281	0.1782655086
282	0.177595287
283	0.1770778662
284	0.1763657109
285	0.1756208423
286	0.1750910195
287	0.1747096282
288	0.1740756154
289	0.1734442578
290	0.1729039264
291	0.1724358445
292	0.1718254257
293	0.171434803
294	0.1708657913
295	0.1704832797
