iter	Passed	Remaining
0	71	142682
1	141	141677
2	205	136812
3	270	134868
4	338	135142
5	404	134490
6	466	132820
7	528	131697
8	590	130672
9	654	130247
10	716	129586
11	777	128867
12	842	128810
13	903	128209
14	966	127957
15	1031	127870
16	1094	127678
17	1161	127862
18	1224	127706
19	1286	127374
20	1351	127397
21	1415	127232
22	1477	127011
23	1541	126947
24	1601	126494
25	1664	126337
26	1727	126262
27	1791	126162
28	1853	125964
29	1917	125916
30	1978	125677
31	2040	125512
32	2103	125409
33	2166	125261
34	2230	125229
35	2293	125145
36	2357	125083
37	2413	124637
38	2476	124532
39	2540	124464
40	2603	124398
41	2669	124432
42	2733	124423
43	2797	124342
44	2856	124103
45	2918	123953
46	2978	123753
47	3038	123579
48	3095	123255
49	3158	123192
50	3218	123006
51	3277	122781
52	3334	122488
53	3396	122382
54	3455	122185
55	3513	121983
56	3571	121757
57	3634	121706
58	3693	121501
59	3755	121424
60	3814	121259
61	3876	121161
62	3935	120989
63	3993	120795
64	4046	120473
65	4111	120491
66	4172	120392
67	4229	120180
68	4290	120081
69	4346	119836
70	4407	119739
71	4466	119600
72	4531	119623
73	4593	119552
74	4654	119469
75	4712	119292
76	4772	119187
77	4832	119074
78	4890	118931
79	4950	118804
80	5013	118766
81	5073	118672
82	5136	118639
83	5198	118578
84	5257	118447
85	5319	118400
86	5378	118259
87	5437	118147
88	5496	118020
89	5557	117951
90	5617	117838
91	5677	117755
92	5737	117645
93	5800	117623
94	5860	117517
95	5922	117463
96	5980	117327
97	6041	117250
98	6105	117232
99	6162	117090
100	6223	117022
101	6283	116927
102	6347	116900
103	6405	116785
104	6465	116683
105	6526	116620
106	6587	116534
107	6645	116416
108	6706	116343
109	6768	116299
110	6828	116209
111	6887	116111
112	6945	115980
113	7004	115886
114	7065	115804
115	7124	115710
116	7187	115678
117	7245	115553
118	7304	115457
119	7370	115471
120	7427	115339
121	7484	115216
122	7542	115102
123	7609	115120
124	7668	115028
125	7727	114924
126	7787	114855
127	7847	114776
128	7914	114790
129	7974	114704
130	8038	114680
131	8102	114667
132	8162	114579
133	8229	114600
134	8287	114486
135	8345	114386
136	8406	114309
137	8470	114284
138	8527	114171
139	8592	114158
140	8657	114149
141	8719	114090
142	8782	114051
143	8846	114027
144	8908	113961
145	8967	113872
146	9025	113776
147	9086	113702
148	9151	113690
149	9209	113582
150	9268	113491
151	9331	113454
152	9393	113395
153	9451	113289
154	9508	113178
155	9567	113096
156	9633	113083
157	9696	113047
158	9754	112947
159	9817	112906
160	9874	112794
161	9935	112722
162	9993	112628
163	10056	112585
164	10121	112565
165	10187	112553
166	10252	112534
167	10314	112474
168	10377	112437
169	10435	112338
170	10499	112296
171	10558	112214
172	10617	112123
173	10673	112005
174	10736	111969
175	10793	111856
176	10854	111794
177	10912	111697
178	10968	111580
179	11029	111522
180	11091	111463
181	11149	111374
182	11211	111321
183	11267	111200
184	11330	111160
185	11387	111061
186	11446	110977
187	11508	110925
188	11572	110888
189	11629	110785
190	11684	110668
191	11742	110571
192	11799	110473
193	11862	110433
194	11921	110350
195	11985	110316
196	12042	110217
197	12105	110168
198	12164	110095
199	12220	109983
200	12282	109927
201	12342	109863
202	12410	109859
203	12469	109782
204	12527	109696
205	12583	109583
206	12648	109558
207	12708	109492
208	12765	109392
209	12827	109339
210	12885	109252
211	12946	109190
212	13003	109096
213	13063	109023
214	13123	108952
215	13184	108896
216	13243	108812
217	13305	108766
218	13358	108638
219	13416	108548
220	13475	108476
221	13534	108399
222	13589	108289
223	13643	108175
224	13698	108067
225	13759	108006
226	13818	107932
227	13878	107865
228	13936	107780
229	13988	107649
230	14047	107576
231	14104	107485
232	14162	107407
233	14220	107319
234	14276	107226
235	14332	107125
236	14389	107037
237	14445	106947
238	14504	106868
239	14563	106796
240	14623	106734
241	14684	106677
242	14744	106609
243	14804	106540
244	14860	106452
245	14918	106372
246	14977	106297
247	15037	106229
248	15096	106162
249	15158	106107
250	15219	106049
251	15286	106035
252	15350	105997
253	15411	105936
254	15470	105865
255	15530	105800
256	15586	105710
257	15645	105640
258	15704	105564
259	15766	105511
260	15819	105405
261	15878	105333
262	15938	105268
263	16000	105218
264	16060	105151
265	16116	105060
266	16175	104990
267	16232	104902
268	16289	104824
269	16349	104756
270	16409	104692
271	16469	104629
272	16528	104558
273	16581	104454
274	16642	104391
275	16702	104327
276	16755	104219
277	16808	104116
278	16864	104026
279	16921	103943
280	16979	103872
281	17040	103811
282	17095	103723
283	17151	103631
284	17214	103586
285	17273	103517
286	17330	103438
287	17384	103342
288	17444	103279
289	17500	103191
290	17560	103128
291	17614	103035
292	17674	102970
293	17726	102862
294	17783	102784
295	17839	102699
296	17897	102622
297	17959	102574
298	18019	102515
299	18078	102444
300	18137	102380
301	18194	102296
302	18252	102225
303	18313	102169
304	18368	102081
305	18426	102008
306	18480	101913
307	18536	101828
308	18585	101711
309	18646	101653
310	18704	101580
311	18764	101519
312	18824	101459
313	18884	101401
314	18944	101336
315	19001	101262
316	19055	101168
317	19118	101123
318	19174	101042
319	19228	100952
320	19287	100882
321	19341	100789
322	19425	100854
323	19478	100757
324	19536	100689
325	19593	100610
326	19653	100549
327	19702	100436
328	19761	100369
329	19820	100303
330	19876	100224
331	19933	100149
332	19993	100088
333	20053	100024
334	20111	99955
335	20174	99909
336	20240	99882
